"Source","Target","rho","qval","trt"
"unclassified_Lachnospiraceae","Bacteroides",-0.64861670502089,0.00119890812130131,"MedWL - Post"
"unclassified_Lachnospiraceae","Lachnospira",0.613159263009422,0.00422294915105212,"MedWL - Post"
"Dorea","Clostridium",-0.634810802640799,0.00199423897706342,"MedWL - Post"
"Dorea","Clostridium",-0.640826546164137,0.00160507126800023,"MedWL - Post"
"Oscillospira","Alistipes",0.703099653204112,0.000515743140945815,"MedA - Post"
"Eggerthella","[Ruminococcus]",0.66857201874772,0.00153933634272371,"MedA - Post"
"Oscillospira","Dialister",0.635617406948172,0.00193680098359589,"MedWL - Post"
"Oscillospira","unclassified_Lachnospiraceae",0.638139851634333,0.00176771296254437,"MedWL - Post"
"Ruminococcus","Faecalibacterium",0.657747759017663,0.00225636809321156,"MedA - Post"
"Collinsella","Faecalibacterium",0.603345857124379,0.0123960378644786,"MedA - Post"
"Actinomyces","unclassified_Lachnospiraceae",-0.629792692502468,0.00564888804788785,"MedA - Post"
"Coprococcus","Haemophilus",-0.674637200405316,0.00141628362341581,"MedA - Post"
"Veillonella","Haemophilus",0.701231637491939,0.000181844844462168,"MedWL - Post"
"unclassified_Carnobacteriaceae","Haemophilus",0.617218229628123,0.00368502603601024,"MedWL - Post"
"Blautia","Ruminococcus",0.748576250998234,9.20944122939498e-05,"MedA - Post"
"Faecalibacterium","Ruminococcus",0.657747759017663,0.00225636809321156,"MedA - Post"
"unclassified_Lachnospiraceae","Faecalibacterium",0.629769658741857,0.0056527964404161,"MedA - Post"
"[Ruminococcus]","Faecalibacterium",0.626815067671609,0.00618608901226859,"MedA - Post"
"Oxalobacter","Methanobrevibacter",0.600251976222173,0.00642562519430642,"MedWL - Post"
"Oscillospira","Methanobrevibacter",0.80360486462172,6.67173966120196e-07,"MedWL - Post"
"Bacteroides","Methanobrevibacter",0.641966252907454,0.00153947176504015,"MedWL - Post"
"unclassified_Ruminococcaceae","Methanobrevibacter",0.677238867377389,0.000415599815291933,"MedWL - Post"
"unclassified_Christensenellaceae","unclassified_Coriobacteriaceae",0.619210252158193,0.00344443000444354,"MedWL - Post"
"unclassified_Lachnospiraceae","Oscillospira",0.638139851634333,0.00176771296254437,"MedWL - Post"
"Roseburia","Oscillospira",0.745150017458706,0.00010931790835698,"MedA - Post"
"Coprococcus","unclassified_Clostridiales",0.626680072454054,0.00266085931313796,"MedWL - Post"
"unclassified_Rikenellaceae","unclassified_Clostridiales",0.691273349480714,0.000273089748685417,"MedWL - Post"
"unclassified_Christensenellaceae","unclassified_Clostridiales",0.638852007078437,5.39070653989249e-07,"Baseline"
"Clostridium","Eggerthella",0.603623952229271,5.54873839974867e-06,"Baseline"
"unclassified_Lachnospiraceae","Eggerthella",-0.667908489027341,0.00157683169116737,"MedA - Post"
"[Ruminococcus]","Eggerthella",0.66857201874772,0.00153933634272371,"MedA - Post"
"Clostridium","Eggerthella",0.637198055291387,0.00182975561191171,"MedWL - Post"
"unclassified_Ruminococcaceae","Eggerthella",0.666311227439294,0.00166929935627408,"MedA - Post"
"unclassified_Lachnospiraceae","Eggerthella",-0.623028229822104,0.00695406987128435,"MedA - Post"
"Coprococcus","Eggerthella",0.602383585157801,0.0127426386601678,"MedA - Post"
"unclassified_Clostridiales","unclassified_Lachnospiraceae",0.643088117631618,0.00369386278183281,"MedA - Post"
"unclassified_[Mogibacteriaceae]","Clostridium",0.610090521117512,0.0102160563064484,"MedA - Post"
"unclassified_Ruminococcaceae","unclassified_Lachnospiraceae",0.649621006607191,0.00297176033250842,"MedA - Post"
"unclassified_Lachnospiraceae","Dorea",0.600143608807177,0.0131456149979164,"MedA - Post"
"[Ruminococcus]","Dorea",0.776616852491301,4.42721529304824e-06,"MedWL - Post"
"Clostridium","[Ruminococcus]",0.663163052097969,8.99484202652807e-08,"Baseline"
